iter	Passed	Remaining
404	8122	31990
405	8144	31976
406	8163	31951
407	8186	31945
408	8207	31926
409	8230	31919
410	8253	31908
411	8270	31879
412	8292	31865
413	8312	31842
414	8335	31833
415	8355	31813
416	8379	31810
417	8398	31785
418	8420	31773
419	8441	31755
420	8460	31733
421	8485	31729
422	8507	31716
423	8530	31706
424	8552	31695
425	8567	31656
426	8588	31638
427	8608	31619
428	8629	31600
429	8648	31575
430	8668	31555
431	8691	31548
432	8711	31528
433	8733	31512
434	8757	31506
435	8774	31475
436	8795	31459
437	8818	31447
438	8837	31423
439	8862	31422
440	8882	31402
441	8904	31388
442	8924	31366
443	8947	31356
444	8969	31341
445	8988	31318
446	9008	31297
447	9027	31272
448	9047	31254
449	9065	31224
450	9086	31208
451	9105	31184
452	9124	31159
453	9145	31144
454	9165	31123
455	9183	31095
456	9202	31069
457	9222	31051
458	9246	31044
459	9267	31025
460	9287	31004
461	9305	30978
462	9333	30982
463	9356	30972
464	9376	30953
465	9399	30941
466	9417	30914
467	9433	30880
468	9454	30863
469	9471	30834
470	9492	30816
471	9512	30793
472	9531	30771
473	9555	30763
474	9576	30744
475	9598	30732
476	9619	30712
477	9638	30691
478	9662	30681
479	9682	30662
480	9705	30650
481	9724	30625
482	9743	30601
483	9765	30587
484	9787	30572
485	9808	30556
486	9831	30544
487	9850	30519
488	9872	30507
489	9897	30500
490	9918	30482
491	9938	30463
492	9962	30453
493	9985	30441
494	10007	30426
495	10029	30411
496	10051	30396
497	10074	30386
498	10095	30367
499	10119	30357
500	10136	30329
501	10161	30321
502	10184	30310
503	10203	30287
504	10225	30270
505	10243	30243
506	10265	30230
507	10288	30217
508	10306	30191
509	10325	30166
510	10346	30149
511	10369	30136
512	10389	30115
513	10409	30093
514	10427	30068
515	10448	30048
516	10473	30042
517	10495	30027
518	10513	30001
519	10533	29979
520	10553	29958
521	10571	29932
522	10592	29914
523	10612	29893
524	10629	29864
525	10651	29847
526	10673	29834
527	10694	29814
528	10713	29791
529	10735	29774
530	10754	29752
531	10778	29741
532	10796	29714
533	10818	29700
534	10840	29685
535	10856	29654
536	10877	29635
537	10899	29619
538	10918	29595
539	10939	29578
540	10962	29563
541	10983	29545
542	11004	29527
543	11025	29510
544	11042	29481
545	11062	29460
546	11080	29431
547	11100	29413
548	11122	29396
549	11139	29366
550	11163	29356
551	11183	29335
552	11207	29326
553	11227	29303
554	11248	29286
555	11272	29275
556	11296	29266
557	11315	29241
558	11337	29227
559	11357	29205
560	11373	29174
561	11396	29161
562	11421	29152
563	11441	29132
564	11459	29105
565	11478	29082
566	11503	29072
567	11526	29060
568	11546	29039
569	11565	29016
570	11585	28994
571	11607	28979
572	11626	28954
573	11647	28936
574	11672	28926
575	11692	28907
576	11712	28886
577	11737	28875
578	11757	28855
579	11779	28839
580	11800	28819
581	11823	28806
582	11844	28788
583	11870	28781
584	11889	28759
585	11912	28743
586	11937	28735
587	11958	28717
588	11976	28689
589	11994	28664
590	12017	28651
591	12038	28631
592	12057	28609
593	12080	28594
594	12102	28577
595	12119	28549
596	12142	28535
597	12162	28514
598	12184	28497
599	12202	28473
600	12223	28453
601	12242	28429
602	12266	28417
603	12284	28392
604	12308	28380
605	12327	28356
606	12348	28337
607	12367	28314
608	12389	28297
609	12408	28275
610	12430	28259
611	12455	28247
612	12475	28226
613	12494	28204
614	12514	28184
615	12533	28160
616	12554	28139
617	12578	28127
618	12600	28112
619	12623	28096
620	12642	28074
621	12663	28054
622	12683	28034
623	12703	28012
624	12726	27997
625	12747	27979
626	12769	27961
627	12794	27952
628	12815	27933
629	12838	27917
630	12859	27899
631	12880	27880
632	12902	27863
633	12925	27849
634	12949	27837
635	12970	27816
636	12992	27799
637	13011	27776
638	13031	27755
639	13052	27735
640	13073	27718
641	13097	27704
642	13117	27683
643	13136	27659
644	13159	27644
645	13175	27616
646	13197	27598
647	13218	27579
648	13240	27563
649	13263	27546
650	13283	27526
651	13304	27507
652	13329	27496
653	13350	27476
654	13372	27458
655	13394	27443
656	13417	27427
657	13440	27411
658	13464	27399
659	13486	27381
660	13506	27359
661	13528	27343
662	13548	27322
663	13571	27306
664	13595	27293
665	13615	27272
666	13637	27254
667	13659	27237
668	13682	27221
669	13702	27200
670	13720	27175
671	13745	27162
672	13763	27138
673	13783	27116
674	13800	27089
675	13823	27073
676	13845	27056
677	13868	27042
678	13891	27026
679	13914	27011
680	13934	26988
681	13954	26968
682	13974	26946
683	13996	26929
684	14020	26916
685	14041	26895
686	14061	26874
687	14087	26864
688	14115	26858
689	14137	26840
690	14158	26820
691	14180	26804
692	14202	26786
693	14224	26768
694	14243	26745
695	14270	26736
696	14291	26716
697	14311	26695
698	14328	26667
699	14348	26647
700	14372	26632
701	14392	26611
702	14412	26589
703	14434	26573
704	14459	26561
705	14480	26540
706	14500	26518
707	14525	26507
708	14546	26487
709	14566	26465
710	14591	26453
711	14614	26436
712	14636	26419
713	14659	26403
714	14678	26380
715	14699	26360
716	14722	26343
717	14741	26321
718	14766	26308
719	14790	26294
720	14812	26276
721	14832	26253
722	14852	26233
723	14875	26216
724	14897	26199
725	14911	26167
726	14934	26150
727	14956	26133
728	14976	26111
729	14997	26090
730	15017	26070
731	15039	26052
732	15060	26031
733	15081	26012
734	15101	25991
735	15121	25970
736	15143	25951
737	15166	25935
738	15187	25914
739	15210	25898
740	15232	25880
741	15257	25867
742	15282	25854
743	15307	25842
744	15329	25823
745	15351	25805
746	15377	25793
747	15397	25772
748	15418	25752
749	15441	25736
750	15461	25714
751	15483	25695
752	15504	25675
753	15527	25658
754	15551	25645
755	15573	25625
756	15593	25605
757	15617	25590
758	15635	25564
759	15657	25546
760	15674	25520
761	15694	25498
762	15716	25479
763	15738	25462
764	15763	25448
765	15785	25429
766	15809	25415
767	15830	25394
768	15847	25368
769	15870	25351
770	15889	25328
771	15911	25310
772	15931	25288
773	15951	25266
774	15971	25245
775	15991	25223
776	16013	25205
777	16034	25185
778	16061	25174
779	16080	25151
780	16103	25134
781	16122	25111
782	16146	25095
783	16168	25076
784	16191	25060
785	16212	25041
786	16237	25026
787	16258	25006
788	16282	24991
789	16303	24970
790	16323	24949
791	16345	24931
792	16370	24916
793	16391	24896
794	16416	24883
795	16440	24867
796	16461	24846
797	16481	24826
798	16506	24811
799	16525	24787
800	16550	24774
801	16568	24749
802	16586	24725
803	16607	24705
804	16631	24689
805	16654	24671
806	16674	24649
807	16695	24630
808	16717	24611
809	16737	24590
810	16757	24568
811	16779	24549
812	16798	24526
813	16818	24504
814	16843	24489
815	16867	24473
816	16888	24453
817	16911	24436
818	16935	24420
819	16958	24403
820	16976	24379
821	16997	24359
822	17016	24336
823	17037	24315
824	17060	24297
825	17077	24273
826	17100	24254
827	17127	24243
828	17155	24232
829	17173	24209
830	17195	24190
831	17218	24171
832	17237	24148
833	17257	24127
834	17277	24106
835	17299	24086
836	17323	24071
837	17345	24051
838	17371	24038
839	17393	24019
840	17415	24001
841	17437	23981
842	17457	23959
843	17477	23938
844	17497	23916
845	17521	23900
846	17540	23877
847	17562	23858
848	17582	23837
849	17603	23816
850	17626	23798
851	17645	23775
852	17662	23750
853	17686	23734
854	17705	23711
855	17724	23687
856	17747	23669
857	17768	23649
858	17789	23629
859	17810	23608
860	17829	23585
861	17853	23569
862	17872	23546
863	17890	23522
864	17914	23505
865	17937	23489
866	17962	23473
867	17987	23458
868	18008	23437
869	18028	23415
870	18048	23394
871	18069	23373
872	18088	23351
873	18113	23335
874	18134	23316
875	18156	23296
876	18181	23281
877	18199	23257
878	18222	23238
879	18243	23219
880	18265	23199
881	18287	23180
882	18307	23158
883	18329	23140
884	18350	23119
885	18372	23099
886	18398	23086
887	18422	23070
888	18442	23047
889	18467	23032
890	18487	23011
891	18510	22993
892	18530	22971
893	18550	22949
894	18571	22929
895	18590	22906
896	18612	22886
897	18635	22869
898	18658	22850
899	18679	22830
900	18704	22814
901	18723	22791
902	18744	22771
903	18765	22751
904	18786	22730
905	18809	22712
906	18830	22692
907	18851	22671
908	18871	22649
909	18893	22630
910	18913	22608
911	18934	22588
912	18955	22568
913	18975	22545
914	18997	22526
915	19017	22505
916	19034	22479
917	19060	22465
918	19080	22443
919	19100	22422
920	19120	22400
921	19140	22378
922	19156	22353
923	19176	22331
924	19196	22309
925	19218	22289
926	19238	22268
927	19259	22247
928	19281	22229
929	19303	22209
930	19323	22187
931	19347	22171
932	19368	22149
933	19386	22126
934	19412	22111
935	19431	22089
936	19454	22070
937	19480	22055
938	19500	22033
939	19521	22013
940	19543	21994
941	19566	21976
942	19588	21956
943	19608	21934
944	19629	21914
945	19650	21893
946	19673	21875
947	19698	21859
948	19722	21841
949	19740	21818
950	19764	21801
951	19784	21779
952	19803	21756
953	19826	21738
954	19849	21720
955	19865	21694
956	19885	21672
957	19908	21653
958	19928	21632
959	19957	21620
960	19982	21604
961	20006	21587
962	20025	21564
963	20049	21547
964	20077	21533
965	20097	21512
966	20117	21490
967	20138	21470
968	20163	21453
969	20184	21432
970	20209	21416
971	20230	21396
972	20250	21373
973	20271	21353
974	20294	21335
975	20315	21314
976	20338	21296
977	20364	21280
978	20385	21259
979	20405	21238
980	20430	21221
981	20455	21205
982	20478	21186
983	20500	21166
984	20524	21150
985	20544	21128
986	20565	21106
987	20589	21089
988	20611	21069
989	20632	21049
990	20648	21023
991	20673	21006
992	20693	20985
993	20715	20966
994	20733	20941
995	20754	20921
996	20779	20904
997	20799	20883
998	20818	20860
999	20843	20843
1000	20864	20822
1001	20888	20804
1002	20909	20784
1003	20924	20757
1004	20943	20734
1005	20962	20712
1006	20981	20690
1007	21005	20671
1008	21029	20654
1009	21049	20633
1010	21068	20609
1011	21092	20592
1012	21114	20572
1013	21132	20548
1014	21148	20523
1015	21169	20502
1016	21188	20480
1017	21209	20459
1018	21228	20436
1019	21245	20412
1020	21266	20391
1021	21285	20369
1022	21306	20348
1023	21329	20330
1024	21353	20311
1025	21375	20291
1026	21395	20270
1027	21418	20251
1028	21437	20228
1029	21457	20207
1030	21478	20186
1031	21502	20169
1032	21524	20149
1033	21544	20127
1034	21569	20110
1035	21592	20091
1036	21616	20073
1037	21638	20053
1038	21660	20034
1039	21680	20013
1040	21704	19995
1041	21723	19972
1042	21743	19950
1043	21765	19931
1044	21784	19908
1045	21804	19886
1046	21825	19866
1047	21848	19846
1048	21868	19825
1049	21887	19803
1050	21904	19778
1051	21929	19761
1052	21948	19739
1053	21972	19721
1054	21994	19701
1055	22018	19683
1056	22041	19664
1057	22065	19645
1058	22087	19626
1059	22107	19604
1060	22129	19585
1061	22153	19567
1062	22172	19544
1063	22191	19522
1064	22214	19502
1065	22236	19483
1066	22256	19461
1067	22282	19444
1068	22302	19423
1069	22320	19400
1070	22342	19380
1071	22359	19356
1072	22384	19338
1073	22403	19315
1074	22419	19290
1075	22438	19268
1076	22460	19248
1077	22481	19228
1078	22502	19207
1079	22523	19186
1080	22546	19167
1081	22569	19148
1082	22593	19130
1083	22615	19110
1084	22636	19089
1085	22652	19064
1086	22674	19044
1087	22693	19022
1088	22714	19002
1089	22737	18982
1090	22758	18962
1091	22780	18941
1092	22802	18922
1093	22824	18902
1094	22846	18882
1095	22870	18863
1096	22887	18839
1097	22909	18820
1098	22932	18800
1099	22953	18779
1100	22974	18759
1101	22998	18741
1102	23019	18719
1103	23040	18699
1104	23060	18678
1105	23080	18656
1106	23100	18634
1107	23122	18615
1108	23144	18594
1109	23166	18575
1110	23186	18553
1111	23207	18532
1112	23231	18514
1113	23253	18493
1114	23277	18476
1115	23299	18456
1116	23319	18434
1117	23339	18413
1118	23363	18394
1119	23384	18373
1120	23410	18356
1121	23432	18336
1122	23453	18315
1123	23477	18297
1124	23501	18279
1125	23522	18257
1126	23545	18238
1127	23564	18216
1128	23587	18197
1129	23609	18176
1130	23632	18158
1131	23655	18138
1132	23675	18117
1133	23697	18096
1134	23721	18078
1135	23741	18056
1136	23765	18038
1137	23789	18020
1138	23811	17999
1139	23831	17978
1140	23853	17958
1141	23874	17937
1142	23896	17917
1143	23917	17896
1144	23941	17877
1145	23962	17856
1146	23983	17835
1147	24006	17816
1148	24026	17795
1149	24050	17776
1150	24070	17754
1151	24088	17731
1152	24105	17707
1153	24127	17687
1154	24148	17666
1155	24173	17649
1156	24195	17629
1157	24217	17609
1158	24234	17585
1159	24258	17566
1160	24281	17547
1161	24300	17525
1162	24322	17504
1163	24343	17483
1164	24363	17461
1165	24382	17440
1166	24405	17420
1167	24430	17402
1168	24451	17381
1169	24472	17360
1170	24496	17341
1171	24519	17322
1172	24540	17301
1173	24563	17282
1174	24582	17260
1175	24607	17241
1176	24627	17220
1177	24647	17198
1178	24673	17181
1179	24694	17160
1180	24723	17145
1181	24741	17122
1182	24759	17099
1183	24780	17078
1184	24802	17058
1185	24825	17039
1186	24845	17016
1187	24867	16996
1188	24886	16974
1189	24910	16956
1190	24934	16936
1191	24956	16916
1192	24976	16895
1193	25000	16876
1194	25023	16857
1195	25047	16837
1196	25069	16817
1197	25089	16795
1198	25111	16776
1199	25139	16759
1200	25160	16738
1201	25180	16716
1202	25205	16698
1203	25229	16680
1204	25254	16661
1205	25275	16640
1206	25298	16620
1207	25319	16600
1208	25341	16580
1209	25361	16558
1210	25382	16537
1211	25404	16517
1212	25425	16496
1213	25447	16475
1214	25473	16457
1215	25497	16438
1216	25517	16417
1217	25540	16397
1218	25561	16376
1219	25586	16358
1220	25606	16336
1221	25626	16315
1222	25649	16295
1223	25674	16277
1224	25693	16254
1225	25711	16232
1226	25734	16212
1227	25754	16190
1228	25775	16169
1229	25800	16151
1230	25823	16131
1231	25844	16110
1232	25868	16091
1233	25890	16071
1234	25912	16051
1235	25933	16030
1236	25957	16010
1237	25977	15989
1238	25998	15968
1239	26013	15943
1240	26035	15923
1241	26058	15903
1242	26082	15884
1243	26103	15863
1244	26127	15844
1245	26146	15822
1246	26162	15798
1247	26184	15777
1248	26205	15756
1249	26224	15734
1250	26248	15715
1251	26270	15695
1252	26291	15674
1253	26310	15651
1254	26334	15632
1255	26353	15610
1256	26376	15591
1257	26398	15570
1258	26420	15549
1259	26439	15527
1260	26459	15506
1261	26483	15487
1262	26507	15467
1263	26529	15447
1264	26548	15425
1265	26571	15405
1266	26591	15383
1267	26613	15363
1268	26636	15343
1269	26657	15323
1270	26680	15302
1271	26699	15281
1272	26719	15259
1273	26737	15236
1274	26763	15218
1275	26783	15196
1276	26808	15178
1277	26832	15158
1278	26849	15135
1279	26873	15116
1280	26893	15094
1281	26912	15072
1282	26931	15050
1283	26950	15028
1284	26972	15007
1285	26995	14987
1286	27018	14968
1287	27038	14946
1288	27061	14926
1289	27078	14903
1290	27101	14883
1291	27125	14864
1292	27149	14844
1293	27169	14823
1294	27190	14802
1295	27208	14780
1296	27231	14760
1297	27253	14739
1298	27272	14717
1299	27290	14694
1300	27312	14674
1301	27334	14653
1302	27355	14633
1303	27379	14613
1304	27399	14592
1305	27423	14572
1306	27445	14552
1307	27466	14531
1308	27487	14510
1309	27507	14488
1310	27531	14469
1311	27554	14449
1312	27577	14429
1313	27603	14410
1314	27623	14389
1315	27644	14368
1316	27667	14348
1317	27689	14327
1318	27710	14306
1319	27730	14285
1320	27749	14263
1321	27774	14244
1322	27791	14221
1323	27813	14201
1324	27836	14180
1325	27861	14161
1326	27885	14142
1327	27906	14121
1328	27929	14101
1329	27952	14081
1330	27974	14060
1331	27997	14040
1332	28021	14021
1333	28044	14001
1334	28066	13980
1335	28087	13959
1336	28110	13939
1337	28128	13917
1338	28149	13896
1339	28169	13874
1340	28192	13854
1341	28215	13834
1342	28241	13815
1343	28263	13795
1344	28281	13772
1345	28301	13751
1346	28323	13730
1347	28342	13708
1348	28366	13689
1349	28388	13668
1350	28407	13646
1351	28430	13626
1352	28450	13604
1353	28472	13584
1354	28492	13563
1355	28517	13543
1356	28541	13524
1357	28564	13503
1358	28584	13482
1359	28603	13460
1360	28624	13439
1361	28648	13419
1362	28669	13398
1363	28690	13377
1364	28711	13356
1365	28735	13336
1366	28757	13316
1367	28777	13294
1368	28800	13274
1369	28822	13254
1370	28845	13234
1371	28865	13212
1372	28887	13192
1373	28909	13171
1374	28929	13149
1375	28954	13130
1376	28973	13108
1377	28994	13087
1378	29014	13066
1379	29037	13045
1380	29058	13024
1381	29083	13005
1382	29104	12984
1383	29123	12962
1384	29146	12942
1385	29170	12922
1386	29190	12901
1387	29213	12881
1388	29234	12859
1389	29258	12839
1390	29281	12819
1391	29303	12799
1392	29328	12779
1393	29348	12758
1394	29371	12738
1395	29393	12717
1396	29415	12696
1397	29441	12677
1398	29460	12656
1399	29479	12634
1400	29503	12614
1401	29523	12592
1402	29542	12570
1403	29565	12550
1404	29584	12528
1405	29607	12508
1406	29628	12487
1407	29651	12467
1408	29671	12445
1409	29692	12424
1410	29716	12404
1411	29736	12383
1412	29761	12363
1413	29781	12342
1414	29803	12321
1415	29824	12300
1416	29845	12279
1417	29869	12259
1418	29889	12238
1419	29912	12217
1420	29936	12198
1421	29966	12180
1422	29990	12160
1423	30015	12141
1424	30034	12119
1425	30062	12101
1426	30083	12079
1427	30110	12060
1428	30134	12041
1429	30162	12022
1430	30185	12002
1431	30214	11984
1432	30234	11962
1433	30262	11944
1434	30281	11922
1435	30309	11904
1436	30332	11883
1437	30358	11864
1438	30379	11843
1439	30407	11825
1440	30429	11804
1441	30454	11784
1442	30472	11762
1443	30500	11743
1444	30525	11724
1445	30549	11704
1446	30587	11689
1447	30615	11670
1448	30634	11648
1449	30661	11630
1450	30681	11608
1451	30706	11589
1452	30727	11567
1453	30750	11547
1454	30770	11525
1455	30790	11504
1456	30815	11484
1457	30835	11462
1458	30855	11441
1459	30879	11421
1460	30898	11399
1461	30916	11377
1462	30941	11357
1463	30962	11336
1464	30987	11316
1465	31013	11296
1466	31031	11274
1467	31049	11252
1468	31067	11230
1469	31083	11207
1470	31104	11185
1471	31127	11165
1472	31149	11144
1473	31174	11124
1474	31195	11103
1475	31217	11082
1476	31236	11060
1477	31258	11039
1478	31278	11018
1479	31296	10996
1480	31321	10976
1481	31340	10954
1482	31365	10934
1483	31385	10913
1484	31410	10893
1485	31431	10872
1486	31450	10849
1487	31474	10829
1488	31494	10808
1489	31515	10787
1490	31539	10766
1491	31562	10746
1492	31583	10725
1493	31605	10704
1494	31626	10683
1495	31646	10661
1496	31671	10641
1497	31694	10621
1498	31715	10600
1499	31740	10580
1500	31761	10558
1501	31779	10536
1502	31801	10515
1503	31822	10494
1504	31844	10473
1505	31870	10454
1506	31891	10433
1507	31911	10411
1508	31935	10391
1509	31956	10369
1510	31978	10349
1511	31998	10327
1512	32020	10306
1513	32045	10286
1514	32069	10266
1515	32092	10245
1516	32117	10225
1517	32138	10204
1518	32158	10183
1519	32180	10162
1520	32201	10141
1521	32220	10119
1522	32240	10097
1523	32262	10076
1524	32280	10054
1525	32301	10033
1526	32321	10011
1527	32339	9989
1528	32361	9968
1529	32380	9946
1530	32403	9926
1531	32422	9904
1532	32442	9882
1533	32463	9861
1534	32489	9841
1535	32509	9820
1536	32533	9800
1537	32554	9778
1538	32577	9758
1539	32599	9737
1540	32623	9717
1541	32645	9696
1542	32668	9675
1543	32691	9655
1544	32710	9633
1545	32733	9612
1546	32756	9592
1547	32775	9570
1548	32794	9548
1549	32817	9527
1550	32838	9506
1551	32859	9485
1552	32882	9464
1553	32902	9443
1554	32924	9422
1555	32949	9402
1556	32972	9381
1557	32992	9359
1558	33017	9339
1559	33039	9318
1560	33063	9298
1561	33089	9278
1562	33111	9257
1563	33134	9237
1564	33154	9215
1565	33177	9194
1566	33199	9173
1567	33224	9153
1568	33245	9132
1569	33268	9111
1570	33288	9090
1571	33312	9069
1572	33334	9048
1573	33358	9028
1574	33384	9008
1575	33405	8987
1576	33424	8965
1577	33448	8945
1578	33466	8923
1579	33489	8902
1580	33512	8881
1581	33532	8860
1582	33555	8839
1583	33576	8817
1584	33597	8796
1585	33618	8775
1586	33640	8754
1587	33666	8734
1588	33688	8713
1589	33708	8692
1590	33728	8670
1591	33749	8649
1592	33767	8627
1593	33792	8607
1594	33815	8586
1595	33840	8566
1596	33862	8545
1597	33886	8524
1598	33904	8502
1599	33929	8482
1600	33949	8460
1601	33968	8439
1602	33987	8417
1603	34010	8396
1604	34034	8376
1605	34054	8354
1606	34075	8333
1607	34098	8312
1608	34122	8291
1609	34144	8271
1610	34167	8250
1611	34187	8228
1612	34208	8207
1613	34228	8186
1614	34251	8165
1615	34272	8143
1616	34297	8123
1617	34318	8102
1618	34341	8081
1619	34361	8060
1620	34384	8039
1621	34404	8017
1622	34427	7997
1623	34448	7975
1624	34468	7954
1625	34487	7932
1626	34510	7911
1627	34533	7890
1628	34552	7869
1629	34572	7847
1630	34594	7826
1631	34617	7805
1632	34643	7785
1633	34666	7764
1634	34687	7743
1635	34707	7722
1636	34730	7701
1637	34750	7679
1638	34775	7659
1639	34795	7638
1640	34817	7617
1641	34840	7596
1642	34863	7575
1643	34884	7554
1644	34904	7532
1645	34924	7511
1646	34945	7489
1647	34967	7468
1648	34989	7447
1649	35011	7426
1650	35028	7404
1651	35051	7383
1652	35071	7362
1653	35092	7340
1654	35111	7319
1655	35136	7298
1656	35157	7277
1657	35183	7257
1658	35215	7238
1659	35245	7218
1660	35266	7197
1661	35288	7176
1662	35307	7154
1663	35329	7133
1664	35349	7112
1665	35367	7090
1666	35390	7069
