iter	Logloss
0	0.6631641021
1	0.6343356762
2	0.6087311058
3	0.5840719426
4	0.5620251639
5	0.5412591126
6	0.5221595067
7	0.5043816494
8	0.4876855237
9	0.4725078057
10	0.4591600097
11	0.4466259434
12	0.4351577925
13	0.4242502657
14	0.4136234508
15	0.4041147774
16	0.3960849337
17	0.3880323265
18	0.3809410049
19	0.3740764404
20	0.3676500108
21	0.3616647133
22	0.3561140634
23	0.3509043403
24	0.3466960131
25	0.3425681736
26	0.3393792243
27	0.335585612
28	0.331838324
29	0.3290174598
30	0.3259347848
31	0.3232165983
32	0.3203664954
33	0.3177658652
34	0.3155009043
35	0.3131574868
36	0.3108936262
37	0.3089538179
38	0.3074248302
39	0.3054793796
40	0.3037909506
41	0.3022314825
42	0.301169616
43	0.2997964496
44	0.2985114418
45	0.2971389444
46	0.2961262401
47	0.2952184322
48	0.2941229845
49	0.2931063339
50	0.2921382928
51	0.2912836388
52	0.2903907316
53	0.2895461521
54	0.2887611192
55	0.2881022958
56	0.2873569477
57	0.2867277591
58	0.28647899
59	0.2858370403
60	0.285458327
61	0.2850280677
62	0.284587936
63	0.2840596431
64	0.283607693
65	0.2831906502
66	0.2827233314
67	0.2824377428
68	0.2821394632
69	0.2817953006
70	0.2814021032
71	0.2810689142
72	0.2807602876
73	0.2804099345
74	0.2801759157
75	0.2799039633
76	0.2796377425
77	0.2794689835
78	0.279223296
79	0.27902371
80	0.2788565444
81	0.2786540735
82	0.2784138788
83	0.2782039678
84	0.2780466729
85	0.2778105943
86	0.2776515827
87	0.2774139158
88	0.2772242575
89	0.2770975469
90	0.2769890323
91	0.2768415068
92	0.2767005691
93	0.2765749766
94	0.2764986785
95	0.2764183635
96	0.2763013033
97	0.2761400495
98	0.2759286739
99	0.275801048
100	0.2756359628
101	0.2754855247
102	0.275343357
103	0.2752155215
104	0.2751590208
105	0.2750233504
106	0.2749292711
107	0.2747812627
108	0.2747449478
109	0.2746401545
110	0.2745250307
111	0.2744187995
112	0.2743398991
113	0.2743346267
114	0.2742560192
115	0.2741346957
116	0.2740009288
117	0.2739028944
118	0.27378918
119	0.2736810697
120	0.2735996106
121	0.2735875721
122	0.2735348975
123	0.2734885914
124	0.2734307579
125	0.2733669295
126	0.2733209102
127	0.2732250278
128	0.2731581518
129	0.273048726
130	0.2729971657
131	0.2729544015
132	0.2728795738
133	0.2728329378
134	0.2728114636
135	0.2727786784
136	0.2727712402
137	0.2727309393
138	0.2726862833
139	0.2726203151
140	0.2725461919
141	0.2725129222
142	0.2724715038
143	0.272454269
144	0.2723823021
145	0.2722900362
146	0.2722657146
147	0.2722070175
148	0.2721520433
149	0.2721373816
150	0.2721218947
151	0.2720789155
152	0.2720463256
153	0.2720175193
154	0.2720009608
155	0.2719812608
156	0.2719467522
157	0.2718933851
158	0.2718546593
159	0.2718254572
160	0.2717776647
161	0.2717699725
162	0.271695659
163	0.2716507108
164	0.2716453758
165	0.2715933037
166	0.2715605043
167	0.2715427009
168	0.2715007309
169	0.2714638542
170	0.2714513888
171	0.271440278
172	0.2714098472
173	0.2713660291
174	0.2713545633
175	0.2713274722
176	0.2712868766
177	0.2712858399
178	0.271236648
179	0.271229587
180	0.2712005754
181	0.2711526829
182	0.2711078765
183	0.2710738321
184	0.2710624332
185	0.2710551489
186	0.2710371779
187	0.2710214112
188	0.2710096285
189	0.2709830916
190	0.2709572466
191	0.2709166389
192	0.2708876441
